airport_ID,airport_name,IATA,ICAO,country,city
44,Dawson Creek Airport,YDQ,CYDQ,Canada,Dawson Creek
45,Edmonton International Airport,YEG,CYEG,Canada,Edmonton
46,Arviat Airport,YEK,CYEK,Canada,Eskimo Point
47,Estevan Airport,YEN,CYEN,Canada,Estevan
48,Edson Airport,YET,CYET,Canada,Edson
49,Eureka Airport,YEU,CYEU,Canada,Eureka
50,Inuvik Mike Zubko Airport,YEV,CYEV,Canada,Inuvik
51,Iqaluit Airport,YFB,CYFB,Canada,Iqaluit
52,Fredericton Airport,YFC,CYFC,Canada,Fredericton
53,Forestville Airport,YFE,CYFE,Canada,Forestville
54,Flin Flon Airport,YFO,CYFO,Canada,Flin Flon
55,Fort Resolution Airport,YFR,CYFR,Canada,Fort Resolution
56,Fort Simpson Airport,YFS,CYFS,Canada,Fort Simpson
57,Kingston Norman Rogers Airport,YGK,CYGK,Canada,Kingston
58,La Grande Rivière Airport,YGL,CYGL,Canada,La Grande Riviere
59,Gaspé (Michel-Pouliot) Airport,YGP,CYGP,Canada,Gaspe
60,Geraldton Greenstone Regional Airport,YGQ,CYGQ,Canada,Geraldton
61,Îles-de-la-Madeleine Airport,YGR,CYGR,Canada,Iles De La Madeleine
62,Hudson Bay Airport,YHB,CYHB,Canada,Hudson Bay
63,Dryden Regional Airport,YHD,CYHD,Canada,Dryden
64,Ulukhaktok Holman Airport,YHI,CYHI,Canada,Holman Island
65,Gjoa Haven Airport,YHK,CYHK,Canada,Gjoa Haven
66,John C. Munro Hamilton International Airport,YHM,CYHM,Canada,Hamilton
67,Montréal / Saint-Hubert Airport,YHU,CYHU,Canada,Montreal
68,Hay River / Merlyn Carter Airport,YHY,CYHY,Canada,Hay River
69,Halifax / Stanfield International Airport,YHZ,CYHZ,Canada,Halifax
70,Atikokan Municipal Airport,YIB,CYIB,Canada,Atikokan
71,Pond Inlet Airport,YIO,CYIO,Canada,Pond Inlet
72,St Jean Airport,YJN,CYJN,Canada,St. Jean
73,Stephenville Airport,YJT,CYJT,Canada,Stephenville
74,Kamloops Airport,YKA,CYKA,Canada,Kamloops
75,Waterloo Airport,YKF,CYKF,Canada,Waterloo
76,Schefferville Airport,YKL,CYKL,Canada,Schefferville
77,Kindersley Airport,YKY,CYKY,Canada,Kindersley
78,Buttonville Municipal Airport,YKZ,CYKZ,Canada,Toronto
79,Chapleau Airport,YLD,CYLD,Canada,Chapleau
80,Meadow Lake Airport,YLJ,CYLJ,Canada,Meadow Lake
81,Lloydminster Airport,YLL,CYLL,Canada,Lloydminster
82,Alert Airport,YLT,CYLT,Canada,Alert
83,Kelowna International Airport,YLW,CYLW,Canada,Kelowna
84,Mayo Airport,YMA,CYMA,Canada,Mayo
85,Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,CYMJ,Canada,Moose Jaw
86,Fort McMurray Airport,YMM,CYMM,Canada,Fort Mcmurray
87,Moosonee Airport,YMO,CYMO,Canada,Moosonee
88,Maniwaki Airport,YMW,CYMW,Canada,Maniwaki
89,Montreal International (Mirabel) Airport,YMX,CYMX,Canada,Montreal
90,Natashquan Airport,YNA,CYNA,Canada,Natashquan
91,Ottawa / Gatineau Airport,YND,CYND,Canada,Gatineau
92,Matagami Airport,YNM,CYNM,Canada,Matagami
93,Old Crow Airport,YOC,CYOC,Canada,Old Crow
94,CFB Cold Lake,YOD,CYOD,Canada,Cold Lake
95,High Level Airport,YOJ,CYOJ,Canada,High Level
96,Ottawa Macdonald-Cartier International Airport,YOW,CYOW,Canada,Ottawa
97,Prince Albert Glass Field,YPA,CYPA,Canada,Prince Albert
98,Peace River Airport,YPE,CYPE,Canada,Peace River
99,Southport Airport,YPG,CYPG,Canada,Portage-la-prairie
100,Pickle Lake Airport,YPL,CYPL,Canada,Pickle Lake
101,Port Menier Airport,YPN,CYPN,Canada,Port Menier
102,Peterborough Airport,YPQ,CYPQ,Canada,Peterborough
103,Prince Rupert Airport,YPR,CYPR,Canada,Prince Pupert
104,Fort Chipewyan Airport,YPY,CYPY,Canada,Fort Chipewyan
105,Muskoka Airport,YQA,CYQA,Canada,Muskoka
106,Quebec Jean Lesage International Airport,YQB,CYQB,Canada,Quebec
107,Red Deer Regional Airport,YQF,CYQF,Canada,Red Deer Industrial
108,Windsor Airport,YQG,CYQG,Canada,Windsor
109,Watson Lake Airport,YQH,CYQH,Canada,Watson Lake
110,Kenora Airport,YQK,CYQK,Canada,Kenora
111,Lethbridge County Airport,YQL,CYQL,Canada,Lethbridge
112,Greater Moncton International Airport,YQM,CYQM,Canada,Moncton
113,Comox Airport,YQQ,CYQQ,Canada,Comox
114,Regina International Airport,YQR,CYQR,Canada,Regina
115,Thunder Bay Airport,YQT,CYQT,Canada,Thunder Bay
116,Grande Prairie Airport,YQU,CYQU,Canada,Grande Prairie
117,Yorkton Municipal Airport,YQV,CYQV,Canada,Yorkton
118,North Battleford Airport,YQW,CYQW,Canada,North Battleford
119,Gander International Airport,YQX,CYQX,Canada,Gander
120,Sydney / J.A. Douglas McCurdy Airport,YQY,CYQY,Canada,Sydney
121,Quesnel Airport,YQZ,CYQZ,Canada,Quesnel
122,Resolute Bay Airport,YRB,CYRB,Canada,Resolute
123,Rivière-du-Loup Airport,YRI,CYRI,Canada,Riviere Du Loup
124,Roberval Airport,YRJ,CYRJ,Canada,Roberval
125,Rocky Mountain House Airport,YRM,CYRM,Canada,Rocky Mountain House
126,Rankin Inlet Airport,YRT,CYRT,Canada,Rankin Inlet
127,Sudbury Airport,YSB,CYSB,Canada,Sudbury
128,Sherbrooke Airport,YSC,CYSC,Canada,Sherbrooke
129,Saint John Airport,YSJ,CYSJ,Canada,St. John
130,Fort Smith Airport,YSM,CYSM,Canada,Fort Smith
131,Nanisivik Airport,YSR,CYSR,Canada,Nanisivik
132,Summerside Airport,YSU,CYSU,Canada,Summerside
133,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,CYSY,Canada,Sachs Harbour
134,Cape Dorset Airport,YTE,CYTE,Canada,Cape Dorset
135,Thompson Airport,YTH,CYTH,Canada,Thompson
136,CFB Trenton,YTR,CYTR,Canada,Trenton
137,Timmins/Victor M. Power,YTS,CYTS,Canada,Timmins
138,Billy Bishop Toronto City Centre Airport,YTZ,CYTZ,Canada,Toronto
139,Tuktoyaktuk Airport,YUB,CYUB,Canada,Tuktoyaktuk
140,Montreal / Pierre Elliott Trudeau International Airport,YUL,CYUL,Canada,Montreal
141,Repulse Bay Airport,YUT,CYUT,Canada,Repulse Bay
142,Hall Beach Airport,YUX,CYUX,Canada,Hall Beach
143,Rouyn Noranda Airport,YUY,CYUY,Canada,Rouyn
144,La Ronge Airport,YVC,CYVC,Canada,La Ronge
145,Vermilion Airport,YVG,CYVG,Canada,Vermillion
146,Qikiqtarjuaq Airport,YVM,CYVM,Canada,Broughton Island
147,Val-d'Or Airport,YVO,CYVO,Canada,Val D'or
148,Kuujjuaq Airport,YVP,CYVP,Canada,Quujjuaq
149,Norman Wells Airport,YVQ,CYVQ,Canada,Norman Wells
150,Vancouver International Airport,YVR,CYVR,Canada,Vancouver
151,Buffalo Narrows Airport,YVT,CYVT,Canada,Buffalo Narrows
152,Wiarton Airport,YVV,CYVV,Canada,Wiarton
153,Petawawa Airport,YWA,CYWA,Canada,Petawawa
154,Winnipeg / James Armstrong Richardson International Airport,YWG,CYWG,Canada,Winnipeg
155,Wabush Airport,YWK,CYWK,Canada,Wabush
156,Williams Lake Airport,YWL,CYWL,Canada,Williams Lake
157,Wrigley Airport,YWY,CYWY,Canada,Wrigley
158,Cranbrook/Canadian Rockies International Airport,YXC,CYXC,Canada,Cranbrook
159,Edmonton City Centre (Blatchford Field) Airport,YXD,CYXD,Canada,Edmonton
160,Saskatoon John G. Diefenbaker International Airport,YXE,CYXE,Canada,Saskatoon
161,Medicine Hat Airport,YXH,CYXH,Canada,Medicine Hat
162,Fort St John Airport,YXJ,CYXJ,Canada,Fort Saint John
163,Sioux Lookout Airport,YXL,CYXL,Canada,Sioux Lookout
164,Pangnirtung Airport,YXP,CYXP,Canada,Pangnirtung
165,Earlton (Timiskaming Regional) Airport,YXR,CYXR,Canada,Earlton
166,Prince George Airport,YXS,CYXS,Canada,Prince George
167,Northwest Regional Airport Terrace-Kitimat,YXT,CYXT,Canada,Terrace
168,London Airport,YXU,CYXU,Canada,London
169,Abbotsford Airport,YXX,CYXX,Canada,Abbotsford
170,Whitehorse / Erik Nielsen International Airport,YXY,CYXY,Canada,Whitehorse
171,North Bay Jack Garland Airport,YYB,CYYB,Canada,North Bay
172,Calgary International Airport,YYC,CYYC,Canada,Calgary
173,Smithers Airport,YYD,CYYD,Canada,Smithers
174,Fort Nelson Airport,YYE,CYYE,Canada,Fort Nelson
175,Penticton Airport,YYF,CYYF,Canada,Penticton
176,Charlottetown Airport,YYG,CYYG,Canada,Charlottetown
177,Taloyoak Airport,YYH,CYYH,Canada,Spence Bay
178,Victoria International Airport,YYJ,CYYJ,Canada,Victoria
179,Lynn Lake Airport,YYL,CYYL,Canada,Lynn Lake
180,Swift Current Airport,YYN,CYYN,Canada,Swift Current
181,Churchill Airport,YYQ,CYYQ,Canada,Churchill
182,Goose Bay Airport,YYR,CYYR,Canada,Goose Bay
183,St. John's International Airport,YYT,CYYT,Canada,St. John's
184,Kapuskasing Airport,YYU,CYYU,Canada,Kapuskasing
185,Armstrong Airport,YYW,CYYW,Canada,Armstrong
186,Mont Joli Airport,YYY,CYYY,Canada,Mont Joli
187,Lester B. Pearson International Airport,YYZ,CYYZ,Canada,Toronto
188,Downsview Airport,YZD,CYZD,Canada,Toronto
189,Gore Bay Manitoulin Airport,YZE,CYZE,Canada,Gore Bay
190,Yellowknife Airport,YZF,CYZF,Canada,Yellowknife
191,Slave Lake Airport,YZH,CYZH,Canada,Slave Lake
192,Sandspit Airport,YZP,CYZP,Canada,Sandspit
193,Chris Hadfield Airport,YZR,CYZR,Canada,Sarnia
194,Port Hardy Airport,YZT,CYZT,Canada,Port Hardy
195,Whitecourt Airport,YZU,CYZU,Canada,Whitecourt
196,Sept-Îles Airport,YZV,CYZV,Canada,Sept-iles
197,Teslin Airport,YZW,CYZW,Canada,Teslin
198,CFB Greenwood,YZX,CYZX,Canada,Greenwood
199,Faro Airport,ZFA,CZFA,Canada,Faro
200,Fort Mcpherson Airport,ZFM,CZFM,Canada,Fort Mcpherson
201,Blida Airport,QLD,DAAB,Algeria,Blida
202,Bou Saada Airport,BUJ,DAAD,Algeria,Bou Saada
203,Soummam Airport,BJA,DAAE,Algeria,Bejaja
204,Houari Boumediene Airport,ALG,DAAG,Algeria,Algier
205,Djanet Inedbirene Airport,DJG,DAAJ,Algeria,Djanet
206,Illizi Takhamalt Airport,VVZ,DAAP,Algeria,Illizi
207,Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT,Algeria,Tamanrasset
208,Jijel Ferhat Abbas Airport,GJL,DAAV,Algeria,Jijel
209,Mecheria Airport,MZW,DAAY,Algeria,Mecheria
210,Rabah Bitat Airport,AAE,DABB,Algeria,Annaba
211,Mohamed Boudiaf International Airport,CZL,DABC,Algeria,Constantine
212,Cheikh Larbi Tébessi Airport,TEE,DABS,Algeria,Tebessa
213,Hassi R'Mel Airport,HRM,DAFH,Algeria,Tilrempt
214,Bou Chekif Airport,TID,DAOB,Algeria,Tiaret
215,Tindouf Airport,TIN,DAOF,Algeria,Tindouf
216,Ech Cheliff Airport,CFK,DAOI,Algeria,Ech-cheliff
217,Tafaraoui Airport,TAF,DAOL,Algeria,Oran
218,Zenata – Messali El Hadj Airport,TLM,DAON,Algeria,Tlemcen
219,Es Senia Airport,ORN,DAOO,Algeria,Oran
220,Sidi Bel Abbes Airport,BFW,DAOS,Algeria,Sidi Bel Abbes
221,Ghriss Airport,MUW,DAOV,Algeria,Ghriss
222,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA,Algeria,Adrar
223,Biskra Airport,BSK,DAUB,Algeria,Biskra
224,El Golea Airport,ELG,DAUE,Algeria,El Golea
225,Noumérat - Moufdi Zakaria Airport,GHA,DAUG,Algeria,Ghardaia
226,Oued Irara Airport,HME,DAUH,Algeria,Hassi Messaoud
227,In Salah Airport,INZ,DAUI,Algeria,In Salah
228,Touggourt Sidi Madhi Airport,TGR,DAUK,Algeria,Touggourt
229,Laghouat Airport,LOO,DAUL,Algeria,Laghouat
230,Timimoun Airport,TMX,DAUT,Algeria,Timimoun
231,Ain el Beida Airport,OGX,DAUU,Algeria,Ouargla
232,In Aménas Airport,IAM,DAUZ,Algeria,Zarzaitine
233,Cadjehoun Airport,COO,DBBB,Benin,Cotonou
234,Ouagadougou Airport,OUA,DFFD,Burkina Faso,Ouagadougou
235,Bobo Dioulasso Airport,BOY,DFOO,Burkina Faso,Bobo-dioulasso
236,Kotoka International Airport,ACC,DGAA,Ghana,Accra
237,Tamale Airport,TML,DGLE,Ghana,Tamale
238,Sunyani Airport,NYI,DGSN,Ghana,Sunyani
239,Takoradi Airport,TKD,DGTK,Ghana,Takoradi
240,Port Bouet Airport,ABJ,DIAP,Cote d'Ivoire,Abidjan
241,Bouaké Airport,BYK,DIBK,Cote d'Ivoire,Bouake
242,Daloa Airport,DJO,DIDL,Cote d'Ivoire,Daloa
243,Korhogo Airport,HGO,DIKO,Cote d'Ivoire,Korhogo
244,Man Airport,MJC,DIMN,Cote d'Ivoire,Man
245,San Pedro Airport,SPY,DISP,Cote d'Ivoire,San Pedro
246,Yamoussoukro Airport,ASK,DIYO,Cote d'Ivoire,Yamoussoukro
247,Nnamdi Azikiwe International Airport,ABV,DNAA,Nigeria,Abuja
248,Akure Airport,AKR,DNAK,Nigeria,Akure
249,Benin Airport,BNI,DNBE,Nigeria,Benin
250,Margaret Ekpo International Airport,CBQ,DNCA,Nigeria,Calabar
251,Akanu Ibiam International Airport,ENU,DNEN,Nigeria,Enugu
252,Ibadan Airport,IBA,DNIB,Nigeria,Ibadan
253,Ilorin International Airport,ILR,DNIL,Nigeria,Ilorin
254,Yakubu Gowon Airport,JOS,DNJO,Nigeria,Jos
255,Kaduna Airport,KAD,DNKA,Nigeria,Kaduna
256,Mallam Aminu International Airport,KAN,DNKN,Nigeria,Kano
257,Maiduguri International Airport,MIU,DNMA,Nigeria,Maiduguri
258,Makurdi Airport,MDI,DNMK,Nigeria,Makurdi
259,Murtala Muhammed International Airport,LOS,DNMM,Nigeria,Lagos
260,Minna Airport,MXJ,DNMN,Nigeria,Minna
261,Port Harcourt International Airport,PHC,DNPO,Nigeria,Port Hartcourt
262,Sadiq Abubakar III International Airport,SKO,DNSO,Nigeria,Sokoto
263,Yola Airport,YOL,DNYO,Nigeria,Yola
264,Zaria Airport,ZAR,DNZA,Nigeria,Zaria
265,Maradi Airport,MFQ,DRRM,Niger,Maradi
266,Diori Hamani International Airport,NIM,DRRN,Niger,Niamey
267,Tahoua Airport,THZ,DRRT,Niger,Tahoua
268,Mano Dayak International Airport,AJY,DRZA,Niger,Agadez
269,Zinder Airport,ZND,DRZR,Niger,Zinder
270,Monastir Habib Bourguiba International Airport,MIR,DTMB,Tunisia,Monastir
271,Tunis Carthage International Airport,TUN,DTTA,Tunisia,Tunis
272,Gafsa Ksar International Airport,GAF,DTTF,Tunisia,Gafsa
273,Gabès Matmata International Airport,GAE,DTTG,Tunisia,Gabes
274,Djerba Zarzis International Airport,DJE,DTTJ,Tunisia,Djerba
275,El Borma Airport,EBM,DTTR,Tunisia,El Borma
276,Sfax Thyna International Airport,SFA,DTTX,Tunisia,Sfax
277,Tozeur Nefta International Airport,TOE,DTTZ,Tunisia,Tozeur
278,Niamtougou International Airport,LRL,DXNG,Togo,Niatougou
279,Lomé-Tokoin Airport,LFW,DXXX,Togo,Lome
280,Antwerp International Airport (Deurne),ANR,EBAW,Belgium,Antwerp
281,Brussels Airport,BRU,EBBR,Belgium,Brussels
282,Brussels South Charleroi Airport,CRL,EBCI,Belgium,Charleroi
283,Wevelgem Airport,KJK,EBKT,Belgium,Kortrijk-vevelgem
284,Liège Airport,LGG,EBLG,Belgium,Liege
285,Ostend-Bruges International Airport,OST,EBOS,Belgium,Ostend
286,Zoersel (Oostmalle) Airfield,OBL,EBZR,Belgium,Zoersel
287,Altenburg-Nobitz Airport,AOC,EDAC,Germany,Altenburg
288,Riesa-Göhlis Airport,IES,EDAU,Germany,Riesa
289,Rechlin-Lärz Airport,REB,EDAX,Germany,Rechlin-laerz
290,Schönhagen Airport,QXH,EDAZ,Germany,Schoenhagen
291,Barth Airport,BBH,EDBH,Germany,Barth
292,"Magdeburg ""City"" Airport",ZMG,EDBM,Germany,Magdeburg
293,Cottbus-Drewitz Airport,CBU,EDCD,Germany,Cottbus
294,Berlin-Schönefeld Airport,SXF,EDDB,Germany,Berlin
295,Dresden Airport,DRS,EDDC,Germany,Dresden
296,Erfurt Airport,ERF,EDDE,Germany,Erfurt
297,Frankfurt am Main Airport,FRA,EDDF,Germany,Frankfurt
298,Münster Osnabrück Airport,FMO,EDDG,Germany,Munster
299,Hamburg Airport,HAM,EDDH,Germany,Hamburg
300,Berlin-Tempelhof International Airport,THF,EDDI,Germany,Berlin
301,Cologne Bonn Airport,CGN,EDDK,Germany,Cologne
302,Düsseldorf Airport,DUS,EDDL,Germany,Duesseldorf
303,Munich Airport,MUC,EDDM,Germany,Munich
304,Nuremberg Airport,NUE,EDDN,Germany,Nuernberg
305,Leipzig/Halle Airport,LEJ,EDDP,Germany,Leipzig
306,Saarbrücken Airport,SCN,EDDR,Germany,Saarbruecken
307,Stuttgart Airport,STR,EDDS,Germany,Stuttgart
308,Berlin-Tegel Airport,TXL,EDDT,Germany,Berlin
309,Hannover Airport,HAJ,EDDV,Germany,Hannover
310,Bremen Airport,BRE,EDDW,Germany,Bremen
311,Frankfurt-Egelsbach Airport,QEF,EDFE,Germany,Egelsbach
312,Frankfurt-Hahn Airport,HHN,EDFH,Germany,Hahn
313,Mannheim-City Airport,MHG,EDFM,Germany,Mannheim
314,Eisenach-Kindel Airport,EIB,EDGE,Germany,Eisenach
315,Siegerland Airport,SGE,EDGS,Germany,Siegerland
316,Hamburg-Finkenwerder Airport,XFW,EDHI,Germany,Hamburg
317,Kiel-Holtenau Airport,KEL,EDHK,Germany,Kiel
318,Lübeck Blankensee Airport,LBC,EDHL,Germany,Luebeck
319,Essen Mulheim Airport,ESS,EDLE,Germany,Essen
320,Bielefeld Airport,BFE,EDLI,Germany,Bielefeld
321,Mönchengladbach Airport,MGL,EDLN,Germany,Moenchengladbach
322,Paderborn Lippstadt Airport,PAD,EDLP,Germany,Paderborn
323,Dortmund Airport,DTM,EDLW,Germany,Dortmund
324,Augsburg Airport,AGB,EDMA,Germany,Augsburg
325,Oberpfaffenhofen Airport,OBF,EDMO,Germany,Oberpfaffenhofen
326,Straubing Airport,RBM,EDMS,Germany,Straubing
327,Friedrichshafen Airport,FDH,EDNY,Germany,Friedrichshafen
328,Schwerin Parchim Airport,SZW,EDOP,Germany,Parchim
329,Bayreuth Airport,BYU,EDQD,Germany,Bayreuth
330,Burg Feuerstein Airport,URD,EDQE,Germany,Burg Feuerstein
331,Hof-Plauen Airport,HOQ,EDQM,Germany,Hof
332,Zweibrücken Airport,ZQW,EDRZ,Germany,Zweibruecken
333,Donaueschingen-Villingen Airport,ZQL,EDTD,Germany,Donaueschingen
334,Braunschweig-Wolfsburg Airport,BWE,EDVE,Germany,Braunschweig
335,Kassel-Calden Airport,KSF,EDVK,Germany,Kassel
336,Bremerhaven Airport,BRV,EDWB,Germany,Bremerhaven
337,Emden Airport,EME,EDWE,Germany,Emden
338,Wilhelmshaven-Mariensiel Airport,WVN,EDWI,Germany,Wilhelmshaven
339,Borkum Airport,BMK,EDWR,Germany,Borkum
340,Norderney Airport,NRD,EDWY,Germany,Norderney
341,Flensburg-Schäferhaus Airport,FLF,EDXF,Germany,Flensburg
342,Westerland Sylt Airport,GWT,EDXW,Germany,Westerland
343,Kärdla Airport,KDL,EEKA,Estonia,Kardla
344,Kuressaare Airport,URE,EEKE,Estonia,Kuressaare
345,Pärnu Airport,EPU,EEPU,Estonia,Parnu
346,Lennart Meri Tallinn Airport,TLL,EETN,Estonia,Tallinn-ulemiste International
347,Tartu Airport,TAY,EETU,Estonia,Tartu
348,Enontekio Airport,ENF,EFET,Finland,Enontekio
349,Halli Airport,KEV,EFHA,Finland,Halli
350,Helsinki Malmi Airport,HEM,EFHF,Finland,Helsinki
351,Helsinki Vantaa Airport,HEL,EFHK,Finland,Helsinki
352,Hyvinkää Airfield,HYV,EFHV,Finland,Hyvinkaa
353,Kitee Airport,KTQ,EFIT,Finland,Kitee
354,Ivalo Airport,IVL,EFIV,Finland,Ivalo
355,Joensuu Airport,JOE,EFJO,Finland,Joensuu
356,Jyvaskyla Airport,JYV,EFJY,Finland,Jyvaskyla
357,Kauhava Airport,KAU,EFKA,Finland,Kauhava
358,Kemi-Tornio Airport,KEM,EFKE,Finland,Kemi
359,Kajaani Airport,KAJ,EFKI,Finland,Kajaani
360,Kauhajoki Airport,KHJ,EFKJ,Finland,Kauhajoki
361,Kokkola-Pietarsaari Airport,KOK,EFKK,Finland,Kruunupyy
362,Kuusamo Airport,KAO,EFKS,Finland,Kuusamo
363,Kittilä Airport,KTT,EFKT,Finland,Kittila
364,Kuopio Airport,KUO,EFKU,Finland,Kuopio
365,Lahti Vesivehmaa Airport,QLF,EFLA,Finland,Vesivehmaa
366,Lappeenranta Airport,LPP,EFLP,Finland,Lappeenranta
367,Mariehamn Airport,MHQ,EFMA,Finland,Mariehamn
368,Mikkeli Airport,MIK,EFMI,Finland,Mikkeli
369,Oulu Airport,OUL,EFOU,Finland,Oulu
370,Pori Airport,POR,EFPO,Finland,Pori
371,Rovaniemi Airport,RVN,EFRO,Finland,Rovaniemi
372,Savonlinna Airport,SVL,EFSA,Finland,Savonlinna
373,Sodankyla Airport,SOT,EFSO,Finland,Sodankyla
374,Tampere-Pirkkala Airport,TMP,EFTP,Finland,Tampere
375,Turku Airport,TKU,EFTU,Finland,Turku
376,Utti Air Base,UTI,EFUT,Finland,Utti
377,Vaasa Airport,VAA,EFVA,Finland,Vaasa
378,Varkaus Airport,VRK,EFVR,Finland,Varkaus
379,Ylivieska Airfield,YLI,EFYL,Finland,Ylivieska-raudaskyla
380,Belfast International Airport,BFS,EGAA,United Kingdom,Belfast
381,St Angelo Airport,ENK,EGAB,United Kingdom,Enniskillen
382,George Best Belfast City Airport,BHD,EGAC,United Kingdom,Belfast
383,City of Derry Airport,LDY,EGAE,United Kingdom,Londonderry
384,Birmingham International Airport,BHX,EGBB,United Kingdom,Birmingham
385,Coventry Airport,CVT,EGBE,United Kingdom,Coventry
386,Gloucestershire Airport,GLO,EGBJ,United Kingdom,Golouchestershire
387,Cotswold Airport,GBA,EGBP,United Kingdom,Pailton
388,Manchester Airport,MAN,EGCC,United Kingdom,Manchester
389,Newquay Cornwall Airport,NQY,EGHQ,United Kingdom,Newquai
390,RAF Lyneham,LYE,EGDL,United Kingdom,Lyneham
391,RNAS Yeovilton,YEO,EGDY,United Kingdom,Yeovilton
392,Haverfordwest Airport,HAW,EGFE,United Kingdom,Haverfordwest
393,Cardiff International Airport,CWL,EGFF,United Kingdom,Cardiff
394,Swansea Airport,SWS,EGFH,United Kingdom,Swansea
395,Bristol Airport,BRS,EGGD,United Kingdom,Bristol
396,Liverpool John Lennon Airport,LPL,EGGP,United Kingdom,Liverpool
397,London Luton Airport,LTN,EGGW,United Kingdom,London
398,Plymouth City Airport,PLH,EGHD,United Kingdom,Plymouth
399,Bournemouth Airport,BOH,EGHH,United Kingdom,Bournemouth
400,Southampton Airport,SOU,EGHI,United Kingdom,Southampton
401,Lasham Airport,QLA,EGHL,United Kingdom,Lasham
402,Alderney Airport,ACI,EGJA,Guernsey,Alderney
403,Guernsey Airport,GCI,EGJB,Guernsey,Guernsey
404,Jersey Airport,JER,EGJJ,Jersey,Jersey
405,Shoreham Airport,ESH,EGKA,United Kingdom,Shoreham By Sea
406,London Biggin Hill Airport,BQH,EGKB,United Kingdom,Biggin Hill
407,London Gatwick Airport,LGW,EGKK,United Kingdom,London
408,London City Airport,LCY,EGLC,United Kingdom,London
409,Farnborough Airport,FAB,EGLF,United Kingdom,Farnborough
410,Blackbushe Airport,BBS,EGLK,United Kingdom,Blackbushe
411,London Heathrow Airport,LHR,EGLL,United Kingdom,London
412,Southend Airport,SEN,EGMC,United Kingdom,Southend
413,Lydd Airport,LYX,EGMD,United Kingdom,Lydd
414,Kent International Airport,MSE,EGMH,United Kingdom,Manston
415,Carlisle Airport,CAX,EGNC,United Kingdom,Carlisle
416,Blackpool International Airport,BLK,EGNH,United Kingdom,Blackpool
417,Humberside Airport,HUY,EGNJ,United Kingdom,Humberside
